steps,avg_reward
6490000,-1823.5
6500000,-2676.5
6510000,-15331.400390625
6520000,-660.2999877929688
6530000,-1809.9000244140625
6540000,-24813.099609375
6550000,-16651.0
6560000,-18903.0
6570000,-18282.0
6580000,-854.2999877929688
6590000,-13253.2998046875
6600000,-27455.69921875
6610000,-7831.7998046875
6620000,-1111.5
6630000,-23488.400390625
6640000,-890.5999755859375
6650000,-2802.699951171875
6660000,-19149.69921875
6670000,-1477.4000244140625
6680000,-645.2999877929688
6690000,-3493.5
6700000,-934.7000122070312
6710000,-996.7999877929688
6720000,-18976.69921875
6730000,-19303.5
6740000,-22896.0
6750000,-14301.400390625
6760000,-2674.5
6770000,-25110.400390625
6780000,-19904.80078125
6790000,-3153.699951171875
6800000,-25560.30078125
6810000,-1694.199951171875
6820000,-4332.7001953125
6830000,-19490.30078125
6840000,-3645.199951171875
6850000,-1570.0999755859375
6860000,-4915.0
6870000,-2605.5
6880000,-2363.5
6890000,-5669.89990234375
6900000,-664.2999877929688
6910000,-17662.80078125
6920000,-1625.0
6930000,-15604.599609375
6940000,-9756.2001953125
6950000,-2059.199951171875
6960000,-7205.7998046875
6970000,-1539.699951171875
6980000,-944.4000244140625
6990000,-1492.9000244140625
7000000,-1903.0
7010000,-4163.7001953125
7020000,-2262.300048828125
7030000,-4370.2001953125
7040000,-1254.800048828125
7050000,-15279.599609375
7060000,-1702.4000244140625
7070000,-1074.0
7080000,-2298.699951171875
7090000,-1134.5
7100000,-22351.400390625
7110000,-2923.5
7120000,-9670.099609375
7130000,-1149.300048828125
7140000,-4080.5
